Nr,Date,Time,f [Hz],Signal,Noise
85,2023-06-09,17:02:34.489,1002.1176499560972,294534.4218723386,3756.2494156865905
85,2023-06-09,17:02:34.505,1002.6008946939478,253356.7331000385,3348.123601146074
85,2023-06-09,17:02:34.520,1001.7791528373778,199562.7130676144,4144.611145577793
85,2023-06-09,17:02:34.527,1004.6488354781676,207319.17755408926,4225.896434846324
85,2023-06-09,17:02:34.534,1000.3684343008524,197307.1178603694,3218.405257227125
85,2023-06-09,17:02:34.542,999.3585679772073,165811.68371065517,3094.04084437224
85,2023-06-09,17:02:34.549,-1.0,0,3065.4044344004697
85,2023-06-09,17:02:34.556,997.2594926388819,107273.815075381,4537.752535195912
86,2023-06-09,17:02:34.628,1007.2688923590309,205243.23838662586,7037.510514058035
86,2023-06-09,17:02:34.643,998.4786711045421,269355.6008571615,3813.524527333334
86,2023-06-09,17:02:34.659,1001.376427423204,310666.39687575167,2871.903374943738
86,2023-06-09,17:02:34.674,-1.0,0,4090.5308450171715
86,2023-06-09,17:02:34.689,1004.1980670350556,417936.4202535196,4994.387328190878
86,2023-06-09,17:02:34.694,998.628739507729,451350.60035202897,4218.605322881735
86,2023-06-09,17:02:34.699,1001.8494857349979,331352.90319228766,5105.961237139891
86,2023-06-09,17:02:34.704,1000.9341887684639,256650.38672256516,3386.2025580423206
86,2023-06-09,17:02:34.709,999.5031620405865,211511.2747763255,4346.5877967018505
86,2023-06-09,17:02:34.724,999.4051828027484,184316.2414425511,3324.9704774615643
86,2023-06-09,17:02:34.739,-1.0,0,4139.1950213266355
87,2023-06-09,17:02:34.836,996.5903736241672,119323.04224948774,3061.1254519576805
87,2023-06-09,17:02:34.849,994.1094013220743,110696.06094146323,3465.429517543576
87,2023-06-09,17:02:34.857,-1.0,0,4565.457784717293
87,2023-06-09,17:02:34.864,1003.1388856864547,226808.08085838135,3234.2201857149435
87,2023-06-09,17:02:34.872,996.8797953263066,391613.9786341161,5064.955836878629
87,2023-06-09,17:02:34.880,1003.441641228431,342181.0719378457,3477.8922676060783
87,2023-06-09,17:02:34.895,994.212951198599,370379.41820052755,4762.898215698508
87,2023-06-09,17:02:34.909,1003.2283647178883,343855.60604674614,3710.3474532540786
87,2023-06-09,17:02:34.924,1003.5147937635004,367477.9440447038,6716.758510007085
87,2023-06-09,17:02:34.939,1001.2987785394785,265164.7166960158,8020.403739248559
87,2023-06-09,17:02:34.946,998.8236297970956,164211.43673811705,4014.3707593231948
